"";"Идентификатор";"Комнатность";"Новостройка";"Метро.Район";"Время.до.метро";"Этаж";"Этажность";"Площадь.общая"
"191";23699236;2;"Нет";"Таганская";5;8;9;50
"192";23250510;2;"Нет";"Смоленская";7;4;6;55
"193";23977435;2;"Нет";"Таганская";12;17;18;62
"194";23652876;3;"Нет";"Таганская";5;4;9;60
"195";24042573;1;"Нет";"Киевская";5;9;12;52
"196";23949654;2;"Нет";"Красные Ворота";7;2;7;69
"197";24039867;2;"Нет";"Трубная";2;8;9;46
"198";24043467;2;"Нет";"Смоленская";NA;1;8;50
"199";23871867;2;"Нет";"Новослободская";5;1;9;50
"200";23949664;2;"Нет";"Курская";7;2;7;69
"201";24031875;2;"Нет";"Павелецкая";2;2;14;53
"202";23614323;2;"Нет";"Павелецкая";5;6;9;75
"203";23861938;2;"Нет";"Киевская";7;18;25;93
"204";22195144;3;"Нет";"Баррикадная";7;1;7;66
"205";23534534;3;"Нет";"Белорусская";10;7;8;62
"206";21126211;3;"Нет";"Таганская";7;7;14;65
"207";23988889;2;"Нет";"Смоленская";10;5;6;52
"208";23977425;2;"Нет";"Парк культуры";5;3;5;64
"209";24043723;2;"Нет";"Таганская";NA;4;12;54
"210";23581805;3;"Нет";"Краснопресненская";3;9;9;55
"211";23657063;3;"Нет";"Павелецкая";5;10;16;64
"212";23793139;1;"Нет";"Киевская";10;10;14;49
"213";23454942;2;"Нет";"Марксистская";5;11;17;84
"214";23606153;1;"Нет";"смоленская - синяя";5;2;9;40
"215";23855174;2;"Нет";"Баррикадная";NA;8;12;65
"216";23855175;3;"Нет";"Краснопресненская";NA;8;12;65
"217";24039895;1;"Нет";"Маяковская";10;11;17;40
"218";22746189;1;"Да";"Новослободская";3;9;14;42
"219";23455512;2;"Нет";"Сухаревская";5;3;7;45
"220";23949640;3;"Нет";"Белорусская";5;11;11;65
"221";24013976;3;"Нет";"Краснопресненская";3;5;6;78
"222";23731711;3;"Нет";"Краснопресненская";5;5;5;77
"223";24031781;3;"Нет";"Баррикадная";5;3;5;70
"224";23455024;3;"Нет";"Таганская";5;3;3;57
"225";24043419;4;"Нет";"Белорусская";10;5;5;84
"226";24014003;2;"Нет";"Таганская";10;5;7;60
"227";24050034;3;"Нет";"Новокузнецкая";5;6;9;57
"228";24050033;3;"Нет";"Павелецкая";5;6;9;57
"229";24043434;1;"Нет";"Кропоткинская";5;2;12;35
"230";21741529;2;"Нет";"Чистые пруды";3;2;4;46
"231";23747065;2;"Нет";"Красные Ворота";2;3;5;53
"232";24017285;2;"Нет";"Курская";5;1;4;82
"233";24013783;2;"Нет";"Проспект Мира";10;4;12;51
"234";23950224;2;"Нет";"Менделеевская";5;4;5;63
"235";24052535;2;"Нет";"Таганская";2;6;17;55
"236";23340612;2;"Нет";"Парк культуры";5;1;4;54
"237";21741530;3;"Нет";"Чистые пруды";3;2;4;46
"238";23534629;3;"Нет";"Цветной бульвар";5;2;3;54
"239";23818105;3;"Нет";"Белорусская";NA;9;14;70
"240";23960930;2;"Нет";"Таганская";10;3;14;57
"241";24042602;2;"Нет";"Киевская";NA;3;9;60
"242";23191525;2;"Нет";"Белорусская";10;3;8;58
"243";23455466;2;"Нет";"Киевская";5;2;9;50
"244";23960976;3;"Нет";"Новокузнецкая";12;1;10;80
"245";24043103;3;"Нет";"Проспект Мира";10;3;9;60
